time,station,rr,substation
2000-01-01T00:00+00:00,17701,,
2000-01-01T00:00+00:00,17901,1314.0,
2000-01-01T00:00+00:00,18000,1128.0,
2000-01-01T00:00+00:00,18001,,
2000-01-01T00:00+00:00,18010,1251.0,
2000-01-01T00:00+00:00,18100,1382.0,
2000-01-01T00:00+00:00,18111,1346.0,
2000-01-01T00:00+00:00,18121,1227.0,
2000-01-01T00:00+00:00,18122,,
2000-01-01T00:00+00:00,18210,1116.0,
2000-01-01T00:00+00:00,18220,1162.0,
2000-01-01T00:00+00:00,18225,1255.0,
2000-01-01T00:00+00:00,18231,,
2000-01-01T00:00+00:00,18305,,
2000-01-01T00:00+00:00,18306,,
2000-01-01T00:00+00:00,18402,,
2000-01-01T00:00+00:00,18500,1023.0,
2000-01-01T00:00+00:00,18502,,
2000-01-01T00:00+00:00,18600,877.0,
2000-01-01T00:00+00:00,18601,,
2000-01-01T00:00+00:00,18617,,
2000-01-01T00:00+00:00,18621,1006.0,
2000-01-01T00:00+00:00,18622,,
2000-01-01T00:00+00:00,18705,881.0,
2000-01-01T00:00+00:00,18805,1034.0,
2000-01-01T00:00+00:00,18905,971.0,
2000-01-01T00:00+00:00,18906,,
2000-01-01T00:00+00:00,19021,,
2000-01-01T00:00+00:00,19201,,
2000-01-01T00:00+00:00,19204,,
2000-01-01T00:00+00:00,19205,710.0,
2000-01-01T00:00+00:00,19505,1364.0,
2000-01-01T00:00+00:00,19600,,
2000-01-01T00:00+00:00,19700,1627.0,
2000-01-01T00:00+00:00,19710,1864.0,
2000-01-01T00:00+00:00,19711,,
2000-01-01T00:00+00:00,19715,,
2000-01-01T00:00+00:00,19720,,
2000-01-01T00:00+00:00,19800,1806.0,
2000-01-01T00:00+00:00,19821,1628.0,
2000-01-01T00:00+00:00,19911,,
2000-01-01T00:00+00:00,20001,1411.0,
2000-01-01T00:00+00:00,20002,,
2000-01-01T00:00+00:00,20010,,
2000-01-01T00:00+00:00,20011,,
2000-01-01T00:00+00:00,20020,1529.0,
2000-01-01T00:00+00:00,20021,,
2000-01-01T00:00+00:00,20100,1351.0,
2000-01-01T00:00+00:00,20101,,
2000-01-01T00:00+00:00,20105,1121.0,
2000-01-01T00:00+00:00,20123,1253.0,
2000-01-01T00:00+00:00,20200,1413.0,
2000-01-01T00:00+00:00,20201,,
2000-01-01T00:00+00:00,20202,,
2000-01-01T00:00+00:00,20209,,
2000-01-01T00:00+00:00,20212,1052.0,
2000-01-01T00:00+00:00,20213,,
2000-01-01T00:00+00:00,20220,1029.0,
2000-01-01T00:00+00:00,20270,1052.0,
2000-01-01T00:00+00:00,20300,1016.0,
2000-01-01T00:00+00:00,20402,,
2000-01-01T00:00+00:00,20403,,
2000-01-01T00:00+00:00,20404,,
2000-01-01T00:00+00:00,20408,,
2000-01-01T00:00+00:00,20411,,
2000-01-01T00:00+00:00,20412,,
2000-01-01T00:00+00:00,20600,1193.0,
2000-01-01T00:00+00:00,20901,,
2000-01-01T00:00+00:00,20902,,
2000-01-01T00:00+00:00,20903,,
2000-01-01T00:00+00:00,21100,2665.0,
2000-01-01T00:00+00:00,21101,,
2000-01-01T00:00+00:00,21300,1360.0,
2000-01-01T00:00+00:00,1,1111.0,10200
2000-01-01T00:00+00:00,2,1101.0,9801
2000-01-01T00:00+00:00,3,593.0,1906
2000-01-01T00:00+00:00,4,,5315
2000-01-01T00:00+00:00,5,1750.0,9640
2000-01-01T00:00+00:00,6,1411.0,20001
2000-01-01T00:00+00:00,7,1547.0,15515
2000-01-01T00:00+00:00,8,,19201
2000-01-01T00:00+00:00,9,1654.0,9606
2000-01-01T00:00+00:00,10,1480.0,9700
2000-01-01T00:00+00:00,11,,20901
2000-01-01T00:00+00:00,12,506.0,5870
2000-01-01T00:00+00:00,13,756.0,13701
2000-01-01T00:00+00:00,14,1192.0,12504
2000-01-01T00:00+00:00,15,1712.0,11102
2000-01-01T00:00+00:00,16,1479.0,14801
2000-01-01T00:00+00:00,17,1043.0,13301
2000-01-01T00:00+00:00,18,549.0,6101
2000-01-01T00:00+00:00,19,1627.0,19700
2000-01-01T00:00+00:00,20,1673.0,11601
2000-01-01T00:00+00:00,21,1360.0,21300
2000-01-01T00:00+00:00,22,599.0,7704
2000-01-01T00:00+00:00,23,,
2000-01-01T00:00+00:00,24,1408.0,11115
2000-01-01T00:00+00:00,25,1207.0,13515
2000-01-01T00:00+00:00,26,767.0,1601
2000-01-01T00:00+00:00,27,971.0,4801
2000-01-01T00:00+00:00,28,1220.0,17002
2000-01-01T00:00+00:00,29,1302.0,6620
2000-01-01T00:00+00:00,30,755.0,16412
2000-01-01T00:00+00:00,31,500.0,5972
2000-01-01T00:00+00:00,32,537.0,5881
2000-01-01T00:00+00:00,33,844.0,3605
2000-01-01T00:00+00:00,35,1708.0,10002
2000-01-01T00:00+00:00,36,836.0,7531
2000-01-01T00:00+00:00,37,449.0,2201
2000-01-01T00:00+00:00,38,921.0,14512
2000-01-01T00:00+00:00,39,1153.0,11803
2000-01-01T00:00+00:00,40,1151.0,9811
2000-01-01T00:00+00:00,42,1371.0,11901
2000-01-01T00:00+00:00,43,1175.0,15343
2000-01-01T00:00+00:00,44,947.0,13120
2000-01-01T00:00+00:00,45,913.0,3501
2000-01-01T00:00+00:00,46,569.0,3805
2000-01-01T00:00+00:00,47,1281.0,15105
2000-01-01T00:00+00:00,48,1052.0,20212
2000-01-01T00:00+00:00,49,638.0,16800
2000-01-01T00:00+00:00,50,923.0,14403
2000-01-01T00:00+00:00,51,500.0,4081
2000-01-01T00:00+00:00,52,524.0,3811
2000-01-01T00:00+00:00,53,804.0,16511
2000-01-01T00:00+00:00,54,819.0,19020
2000-01-01T00:00+00:00,55,1314.0,17901
2000-01-01T00:00+00:00,56,952.0,3202
2000-01-01T00:00+00:00,57,732.0,500
2000-01-01T00:00+00:00,58,,13906
2000-01-01T00:00+00:00,59,,7220
2000-01-01T00:00+00:00,60,1303.0,6415
2000-01-01T00:00+00:00,61,1335.0,15001
2000-01-01T00:00+00:00,62,1116.0,18210
2000-01-01T00:00+00:00,63,919.0,10500
2000-01-01T00:00+00:00,64,1024.0,16015
2000-01-01T00:00+00:00,65,607.0,7905
2000-01-01T00:00+00:00,66,1214.0,17301
2000-01-01T00:00+00:00,67,439.0,2415
2000-01-01T00:00+00:00,68,1215.0,15610
2000-01-01T00:00+00:00,69,1227.0,18121
2000-01-01T00:00+00:00,70,527.0,2503
2000-01-01T00:00+00:00,71,1034.0,18805
2000-01-01T00:00+00:00,72,927.0,7505
2000-01-01T00:00+00:00,73,1270.0,12615
2000-01-01T00:00+00:00,74,1158.0,5312
2000-01-01T00:00+00:00,75,1033.0,4501
2000-01-01T00:00+00:00,76,1572.0,11505
2000-01-01T00:00+00:00,77,1096.0,1415
2000-01-01T00:00+00:00,78,1350.0,15402
2000-01-01T00:00+00:00,80,1039.0,10510
2000-01-01T00:00+00:00,81,470.0,905
2000-01-01T00:00+00:00,82,2978.0,15321
2000-01-01T00:00+00:00,83,1347.0,12301
2000-01-01T00:00+00:00,85,1726.0,12311
2000-01-01T00:00+00:00,86,1036.0,16421
2000-01-01T00:00+00:00,87,1418.0,11706
2000-01-01T00:00+00:00,88,,10415
2000-01-01T00:00+00:00,89,609.0,1920
2000-01-01T00:00+00:00,90,881.0,18705
2000-01-01T00:00+00:00,91,,20402
2000-01-01T00:00+00:00,92,1049.0,15701
2000-01-01T00:00+00:00,93,548.0,5604
2000-01-01T00:00+00:00,94,858.0,16411
2000-01-01T00:00+00:00,95,1006.0,18621
2000-01-01T00:00+00:00,97,,
2000-01-01T00:00+00:00,98,913.0,15711
2000-01-01T00:00+00:00,100,1253.0,20123
2000-01-01T00:00+00:00,101,,7011
2000-01-01T00:00+00:00,102,1628.0,19821
2000-01-01T00:00+00:00,103,1023.0,18500
2000-01-01T00:00+00:00,104,1387.0,7001
2000-01-01T00:00+00:00,105,536.0,5904
2000-01-01T00:00+00:00,106,557.0,5805
2000-01-01T00:00+00:00,107,464.0,5917
2000-01-01T00:00+00:00,108,1526.0,9919
2000-01-01T00:00+00:00,109,1547.0,9511
2000-01-01T00:00+00:00,111,800.0,4815
2000-01-01T00:00+00:00,112,485.0,7604
2000-01-01T00:00+00:00,113,1331.0,12322
2000-01-01T00:00+00:00,115,856.0,16101
2000-01-01T00:00+00:00,116,971.0,18905
2000-01-01T00:00+00:00,118,1448.0,12200
2000-01-01T00:00+00:00,119,1324.0,14300
2000-01-01T00:00+00:00,120,1413.0,20200
2000-01-01T00:00+00:00,121,987.0,17100
2000-01-01T00:00+00:00,122,1351.0,20100
2000-01-01T00:00+00:00,123,657.0,1901
2000-01-01T00:00+00:00,124,1086.0,13115
2000-01-01T00:00+00:00,125,639.0,5720
2000-01-01T00:00+00:00,126,,14600
2000-01-01T00:00+00:00,127,,14820
2000-01-01T00:00+00:00,128,,18305
2000-01-01T00:00+00:00,129,,9210
2000-01-01T00:00+00:00,130,1364.0,19505
2000-01-01T00:00+00:00,131,1165.0,6300
2000-01-01T00:00+00:00,132,1710.0,9610
2000-01-01T00:00+00:00,133,1755.0,11105
2000-01-01T00:00+00:00,134,,4221
2000-01-01T00:00+00:00,136,931.0,14630
